"","Player's name","Total Points","Total Rebounds","Assists","Steals","Blocks","Missed Field goals","Missed Free Throws","Turnovers","Games Played","Efficiency Index","Salary","Position"
"32","Dewayne Dedmon",255,228,13,22,46,78,19,32,58,2.37930665327365,947278,"C"
"33","Jason Smith",546,219,62,33,65,259,13,57,76,3.19679173643141,4300000,"C"
"34","Nikola Vucevic",1181,576,179,53,70,513,37,123,65,7.6108442223496,11250000,"C"
"35","Greg Monroe",1210,696,178,72,67,450,80,129,79,6.79479616286249,16400000,"C"
"36","John Henson",397,221,54,18,109,127,48,64,57,4.00053256903141,2943221,"C"
"37","Miles Plumlee",314,232,16,21,50,93,25,40,61,2.53633070053234,2109294,"C"
"38","Kevin Seraphin",187,126,47,8,36,121,4,43,48,2.53445439999242,2800000,"C"
"39","Robin Lopez",842,602,114,16,129,305,33,133,82,4.96543907024641,13000000,"C"
"40","Andrea Bargnani",304,97,18,4,9,152,10,26,46,2.11030783517907,1362900,"C"
"41","Brook Lopez",1501,573,147,58,124,566,86,175,73,8.18820633979376,20000000,"C"
"42","Henry Sims",91,72,9,9,14,44,5,12,14,3.72854659636438,161622,"C"
"43","Elton Brand",70,63,18,9,8,41,1,11,17,2.76991785875191,890693,"C"
"44","Jahlil Okafor",928,373,65,22,61,384,61,124,53,6.77276150108211,4582680,"C"
"45","Nerlens Noel",747,542,122,118,100,281,93,158,67,7.70300401522195,3457800,"C"
"46","Anderson Varejao",58,50,15,5,5,27,13,6,22,1.66455632067652,458575,"C"
"47","Andrew Bogut",375,492,162,33,114,104,26,83,70,4.50639722064455,12000000,"C"
"48","Festus Ezeli",320,257,32,18,50,103,62,38,46,3.79192406996731,2008748,"C"
"49","Marreese Speights",512,239,61,19,34,259,20,66,72,3.06174030801314,3815000,"C"
"50","Boban Marjanovic",297,194,21,12,23,69,27,29,54,2.17937148431595,1200000,"C"
"51","Matt Bonner",76,27,9,6,1,28,1,3,30,0.876640891352437,1499187,"C"
"52","Tim Duncan",522,447,163,47,78,226,39,90,61,5.71545690004434,5000000,"C"
"53","Enes Kanter",1038,664,33,26,33,305,51,115,82,4.38679870677512,16400000,"C"
"54","Nazr Mohammed",8,4,0,0,0,2,0,3,5,0.652927387998405,352750,"C"
"55","Steven Adams",636,533,62,42,89,165,82,84,80,4.1697960295015,2279040,"C"
"56","Cole Aldrich",328,288,50,47,68,91,24,64,60,3.73031129810067,1100600,"C"
"57","DeAndre Jordan",980,1059,90,51,177,151,353,107,77,7.72670652918105,19500000,"C"
"58","Jeff Ayres",30,22,5,0,3,11,0,6,17,0.817112790329799,317232,"C"
"59","Chris Kaman",44,24,11,1,1,23,0,8,16,1.29502846156577,5000000,"C"
"60","Mason Plumlee",749,628,226,68,85,250,120,154,82,6.1807266824313,1415520,"C"
"61","JaVale McGee",172,133,3,5,26,57,18,21,34,2.29894436207161,1270964,"C"
"62","Salah Mejri",125,123,10,8,36,29,19,23,34,2.36057654717733,525093,"C"
"63","Zaza Pachulia",650,718,128,64,22,251,64,119,76,5.26157027674559,5200000,"C"
"64","Chris Andersen",92,89,9,14,10,28,10,7,20,2.67149320187001,5000000,"C"
"65","Marc Gasol",861,362,196,50,70,379,42,118,52,8.08863658107734,19700000,"C"
"66","Chuck Hayes",4,8,2,0,0,1,0,3,2,1.98720349803873,83583,"C"
"67","Clint Capela",542,494,47,59,92,166,131,60,77,4.38830335212104,1242720,"C"
"68","Dwight Howard",976,835,98,69,113,228,242,166,71,7.97189009354882,22359364,"C"
"69","Jeff Withey",217,173,20,21,53,75,16,28,51,2.5323122117779,947276,"C"
"70","Rudy Gobert",557,668,91,45,135,156,122,114,61,6.72935755207962,1175880,"C"
"71","Tibor Pleiss",24,15,2,1,2,14,0,8,12,1.14379058895303,3000000,"C"
"72","DeMarcus Cousins",1748,747,214,101,92,731,187,249,65,12.2940246475732,14728844,"C"
"73","Kosta Koufos",529,423,33,40,70,208,47,48,78,3.38178933688984,7500000,"C"
"74","Willie Cauley-Stein",463,352,37,48,66,148,44,46,66,3.70269604975518,3398280,"C"
"75","Joffrey Lauvergne",465,290,56,13,15,185,7,54,59,3.06532619415304,1709720,"C"
"76","Jusuf Nurkic",263,175,40,24,44,141,38,55,32,5.44210438669035,1842000,"C"
"77","Nikola Jokic",796,560,189,79,50,293,36,104,80,5.39342226504139,1300000,"C"
"78","Alexis Ajinca",352,269,31,19,36,165,10,54,59,2.95780059622301,4300000,"C"
"79","Kendrick Perkins",91,128,31,11,11,35,14,41,37,2.32999674744395,1499200,"C"
"80","Omer Asik",269,414,26,21,23,91,51,60,68,2.71220623339405,11000000,"C"
"81","Gorgui Dieng",827,585,143,94,96,271,43,140,82,5.83931475880302,1474440,"C"
"82","Karl-Anthony Towns",1503,857,161,58,138,528,52,183,82,7.69758050177646,5703600,"C"
"83","Nikola Pekovic",54,21,11,1,0,31,4,9,12,2.00486026752247,12100000,"C"
"84","Alex Len",703,594,97,38,62,360,65,145,78,5.20895674319473,3807120,"C"
"85","Tyson Chandler",472,576,64,36,44,131,65,93,66,4.41559899828928,13000000,"C"
"86","Robert Sacre",87,72,14,4,10,44,13,12,25,1.97419386983656,981348,"C"
"87","Roy Hibbert",481,398,95,32,110,229,28,76,81,3.75654694871578,15500000,"C"
"88","Tarik Black",133,157,16,14,18,47,26,22,39,2.29376021159763,845059,"C"
"89","Kevin Love",1234,762,186,58,41,568,56,142,77,7.82244197712792,19500000,"PF"
"90","Tristan Thompson",643,738,62,38,51,173,93,61,82,5.00883869991,14260870,"PF"
"91","Anthony Bennett",28,23,0,5,0,19,1,4,19,0.927477092302866,947276,"PF"
"92","James Johnson",287,126,67,29,33,126,29,54,57,3.51193487868523,2500000,"PF"
"93","Luis Scola",664,360,66,46,27,329,23,68,76,4.15625276000853,3000000,"PF"
"94","Patrick Patterson",543,342,94,53,32,289,5,65,79,3.78662329888953,6268675,"PF"
"95","Chris Bosh",1010,390,128,36,34,409,55,78,53,7.738496059594,22192730,"PF"
"96","Josh McRoberts",150,105,81,18,7,93,12,30,42,2.95926577423239,5543725,"PF"
"97","Luol Deng",911,443,140,74,29,406,47,81,74,6.01028098938915,10151612,"PF"
